,Question,DocumentRetrieved
0,Did John Adams represent the Continental Congress in Europe?,S08_set3_a1
1,Was Adams raised Congregationalist?,S08_set3_a1
2,Was Adams an opponent of the Stamp Act?,S08_set3_a1
3,When did Adams graduate from college?,S08_set3_a1
4,Who was on the committee with Adams to draft  a Declaration of Independence?,S08_set3_a1
5,What did Jefferson call John Adams?,S08_set3_a1
6,What was Adams' political party?,S08_set3_a1
7,Was Adams the first to introduce a bicameral legislature?,S08_set3_a1
8,Did John Adams get along with Alexander Hamilton?,S08_set3_a1
9,Did John Adams go to Harvard? ,S08_set3_a1
10,Did John Adams support the Stamp Act of 1765?,S08_set3_a1
11,Is Adams' birthplace part of a national park?,S08_set3_a1
12,When did John Adams serve as Vice President?,S08_set3_a1
13,With what party did Adams run for presidency?,S08_set3_a1
14,Where is Adams buried?,S08_set3_a1
15,Who were the midnight judges?,S10_set5_a4
16,In what ways was Adams opposed by Anderw Hamilton?,S08_set3_a1
17,What information did he record in his diary?,S08_set3_a1
18,Who was defeated for re-election in the`` Revolution of 1800'' by Thomas Jefferson?,S08_set3_a1
19,Who represented the Continental Congress in Europe?,S08_set3_a1
20,What is now part of Adams National Historical Park?,S08_set3_a1
21,Is it true that adams had spent some time as the ambassador?,S08_set3_a1
22,Is it true that massachuS08_setts sent him in 1774?,S08_set3_a1
23,Who did MassachuS08_setts send in 1774?,S10_set4_a10
24,"Are his last words often quoted as "" Thomas Jefferson survives "" . ?",S08_set3_a1
25,"The John Adams Library , housed at the Boston Public Library , contains what?",S08_set3_a1
26,Adams ' opponents were what?,S08_set3_a1
27,"Did the election of 1800 not become a bitter and volatile battle , with each side expressing extraordinary fear of the other party and its policies ?",S08_set3_a1
28,What happened in 1764?,S08_set4_a8
29,Is a kangaroo a reptile?,S08_set1_a1
30,Is a kangaroo on the Australian coat of arms?,S08_set1_a1
31,"Was James Cook the first to record the name ""Kangooroo?""",S10_set4_a2
32,What is a collective noun for kangaroos?,S08_set1_a1
33,Where do joeys complete postnatal development?,S08_set1_a1
34,"What do kangaroos use for ""crawl-walking?""",S08_set1_a1
35,Why do kangaroos have a wide bite?,S08_set1_a1
36,What is responsible for converting the hydrogen byproduct of fermentation into acetate?,S10_set4_a10
37,Are wild kangaroos shot for meat?,S08_set1_a1
38,Have kangaroos fared well since European S08_settlement?,S08_set1_a1
39,Do kangaroos have many natural predators?,S08_set1_a1
40,What is the average life expectancy of a kangaroo?,S08_set1_a1
41,When did the first official report of kangaroo blindness take place?,S08_set1_a1
42,What are vehicles that frequent isolated roads often fitted with?,S09_set3_a7
43,Do kangaroos eat plants?,S08_set1_a1
44,What are some extinct predators of the kangaroo?,S08_set1_a1
45,Is a Kangaroo a Marsupial?,S08_set1_a1
46,Is the kangaroo an herbivour?,S08_set1_a1
47,Are Kangaroos Shy?,S08_set1_a1
48,What method of locomotion do Kangaroos Use?,S08_set1_a1
49,What is a collective noun for a kangaroo?,S08_set1_a1
50,What is a roo?,S08_set1_a1
51,What is used to protect a vehicale from a Kangaroo?,S08_set1_a1
52,What method is used by Kangaroos to travel?,S08_set1_a1
53,Who asked a nearby local what the creatures were called?,S08_set1_a1
54,What are four species that are commonly referred to as kangaroos?,S08_set1_a1
55,Are kangaroos and wallabies adept swimmers?,S08_set1_a1
56,Are kangaroos farmed to any extent?,S08_set1_a1
57,Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,S08_set1_a1
58,Different species of kangaroos eat what?,S08_set1_a1
59,Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?,S08_set1_a1
60,Is a collision with a vehicle capable of killing a kangaroo ?,S08_set1_a1
61,Was the game of Marn grook played using a ball made from kangaroo by the Kurnai people ?,S08_set1_a1
62,"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?",S08_set1_a1
63,"Is a kangaroo a marsupial from the family macropodidae -LRB- macropods , meaning (`` ` large foot ('' ' -RRB-?",S08_set1_a1
64,What kinds of changes have larger kangaroos adapted much better to?,S08_set1_a1
65,Have larger kangaroos adapted much better to changes?,S08_set1_a1
66,Is Liechtenstein bordered by Switzerland?,S08_set2_a1
67,Is Liechtenstein the smallest German-speaking country in the world?,S08_set2_a1
68,Was Liechtenstein part of the ancient Roman province of Raetia?,S08_set2_a1
69,When was the first factory opened?,S08_set4_a2
70,How many municipalities is Liechtenstein divided into?,S08_set2_a1
71,What is the national currency of Liechtenstein?,S08_set2_a1
72,Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,S10_set3_a8
73,What company administers Leichtenstein's railways?,S09_set3_a9
74,What percentage of Liechtenstein's population is foreign-born?,S08_set2_a1
75,Is there an airport in Liechtenstein?,S08_set2_a1
76,Is Liechtenstein heavily urbanized?,S08_set2_a1
77,Is Liechtenstein doubly landlocked?,S08_set2_a1
78,Does Liechtenstein have an army?,S08_set2_a1
79,When was Liechtenstein's current constitution adopted?,S08_set2_a1
80,What is the official language of Liechtenstein?,S08_set2_a1
81,What countries border Liechtenstein?,S08_set2_a1
82,What Roman province was Liechtenstein part of?,S08_set2_a1
83,How many municipalities are within Oberland?,S09_set3_a6
84,What is the smallest German-speaking country in the world?,S09_set5_a2
85,"The Savings and Loans Bank was founded, as was the first cotton-weaving mill in what year?",S08_set4_a2
86,What enjoys one of the world's highest standards of living?,S09_set5_a2
87,Does the state court rule on the conformity of laws?,S08_set2_a8
88,What do most recognizable international company and largest employer have in common?,S09_set3_a1
89,Was Liechtenstein completed in November 2000?,S08_set2_a1
90,What completed in November?,S10_set3_a1
91,The State Court rules what?,S08_set2_a10
92,The Historical Society of the Principality of Liechtenstein plays what?,S08_set2_a1
93,Is the museum collection also the national art collection of Liechtenstein ?,S08_set2_a1
94,Is there a small heliport at Balzers in Liechtenstein available for charter helicopter flights ?,S08_set2_a1
95,Are nationals referred to by the plural : Liechtensteiners ?,S08_set2_a1
96,"Is it a winter sports resort , although it is perhaps best known as a tax haven ?",S08_set2_a1
97,Is it a winter sports resort?,S08_set2_a2
98,Is it the smallest german-speaking country in the world?,S09_set5_a2
99,"What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?",S08_set2_a1
100,Was Blaise Pascal a mathematician of the first order?,S10_set4_a4
101,Could Blaise Pascal move without crutches?,S10_set4_a4
102,Has the name Pascal been given to the SI unit of pressure?,S08_set4_a4
103,From what did Pascal suffer throughout his life?,S08_set4_a4
104,What did Pascal argue was as perfect as possible?,S08_set4_a4
105,What is the best physician?,S08_set4_a4
106,Who was the eldest sibling?,S10_set5_a2
107,"Aside from the Provincial Letters' religious influence, were they popular as a literary work?",S08_set2_a8
108,Of whose continual poor health was the cause never precisely determined?,S10_set4_a6
109,Is London the capital of the United Kingdom?,S09_set3_a1
110,Does London's population draw from a wide range of religions?,S09_set3_a1
111,Did Caunte take control of the English throne in 101?,S09_set5_a1
112,Over how many languages are spoken in London?,S09_set3_a1
113,What had the Anglo-Saxons created by the 600s?,S09_set5_a1
114,What city in the UK has been subjected to bouts of terrorism?,S09_set3_a1
115,What countries did James VI of Scotland unite?,S10_set4_a2
116,How did civil wars affect England during the Middle Ages?,S09_set3_a1
117,Who was Blaise Pascal's father?,S10_set4_a4
118,Was Pascal a French mathematician?,S08_set4_a4
119,Did Pascal have poor health throughout his life?,S08_set4_a4
120,How old was Pascal when he lost his mother?,S08_set4_a4
121,Who was Pascal's younger sister?,S08_set4_a4
122,What led Pascal to his religious conversion?,S08_set4_a4
123,How old was Pascal when he died?,S08_set4_a4
124,Did Pascal write about cycloid before 1658?,S08_set4_a4
125,Is there a programming language called Pascal?,S08_set4_a4
126,Crowds of believers came to see and kiss the thorn; all of Catholic where acclaimed a miracle?,S10_set4_a4
127,Wasn't Blaise Pascal a work of Desargues on conic sections?,S08_set4_a4
128,Who died the next morning?,S08_set4_a4
129,When did his father die?,S08_set4_a6
130,"Was he a child prodigy who was educated by his father, a civil servant?",S09_set2_a8
131,"Was Pascal's earliest work in the natural and applied sciences where he made important contributions to the construction of mechanical calculators, the study of fluids, and clarified the concepts of pressure and vacuum by generalizing the work of Evangelista Torricelli?",S08_set4_a4
132,Did Pascal also write in defense of the scientific method?,S08_set4_a4
133,What happened in 1968 through 1971?,S08_set4_a8
134,What happened in 1838?,S08_set4_a8
135,"Who was not long in finding another lover, Jacqueline Roque?",S10_set6_a1
136,When did Picasso make his first trip to Paris?,S10_set6_a1
137,Give an example of the most comprehensive records extant of any major artists beginnings. ,S10_set6_a7
138,Is in the 1996 movie Surviving Picasso Picasso played by actor Anthony Hopkins?,S10_set6_a1
139,Is the U.S. copyright representative for the Picasso Administration the Artists Rights Society?,S10_set6_a1
140,Is he one of the most recognized figures in 20th-century art?,S10_set6_a9
141,Is he best known for co-founding the Cubist movement and for the wide variety of styles embodied in his work?,S10_set6_a1
142,"Are among his most famous works the proto-Cubist Les Demoiselles d'Avignon (1907) and Guernica (1937), his portrayal of the German bombing of Guernica during the Spanish Civil War?",S10_set6_a1
143,Are pianos used in Western music?,S09_set2_a1
144,"Are ""upright pianos"" called ""vertical pianos""?",S09_set2_a1
145,Did Bartolomeo Cristofori invent the modern piano?,S09_set2_a1
146,What is the middle pedal called on grand pianos?,S09_set2_a1
147,How many black keys do modern pianos have?,S09_set2_a1
148,What is the sustain pedal called?,S09_set2_a1
149,Where is Irving Berlin's piano located?,S09_set2_a1
150,What kind of piano did Irving Berlin play?,S09_set2_a1
151,Is the left-most pedal on a grand piano called the una corda?,S09_set2_a1
152,Is it advantageous for a grand piano's metal plate to be quite massive?,S09_set2_a1
153,Is the mechanism in an upright piano perpendicular to its keys?,S09_set2_a1
154,About how tall is a typical studio piano?,S09_set2_a1
155,What are a piano's keys generally made of?,S09_set2_a1
156,How many total keys does a typical modern piano have?,S09_set2_a1
157,Why are upright pianos more compact?,S09_set2_a1
158,Do older pianos have more keys than modern pianos?,S09_set2_a1
159,What are the names of a piano's pedals?,S09_set2_a1
